smiles,BM,SA,SC
*C(C*)c1ccc(cc1)C(=O)N(C)C,3057016372,3.766025036,2.928614891
*C(C*)c1ccc(cc1)C(=O)N(CC)CC,2600784376,3.620225171,2.89061844
*C(C*)c1ccc(cc1)C(=O)N1CCCCC1,2654565401,3.382868723,2.771595819
*C(C*)c1ccc(cc1)C(=O)CCN1CCCCC1,3659720981,3.443347611,2.659164001
*C(C*)c1ccc(cc1)C(=O)N1CCOCC1,3343611167,3.486690443,3.184507886
*C(C*)c1ccc(cc1)C(=O)OC,2456014968,3.7074039,2.257566943
*C(C*)c1ccc(cc1)C(=O)OCC,2021211473,3.594364895,2.353676982
*C(C*)c1ccc(cc1)C(=O)OCCC,2175107597,3.60501763,2.72642554
*C(C*)c1ccc(cc1)C(=O)OC(C)C,2597709818,3.675620061,2.662490556
*C(C*)c1ccc(cc1)C(=O)OCCCC,2353138432,3.508875708,2.741536662
*C(C*)c1ccc(cc1)C(=O)OCC(C)C,2687180682,3.628147579,2.647282878
*C(C*)c1ccc(cc1)C(=O)OCCCCCC,2327883661,3.394637065,3.0933926
*C(C*)c1ccc(cc1)C(=O)CC,2382438080,3.872464628,1.996986651
*C(C*)c1ccc(cc1)C(=O)CCC,2500976302,3.754210299,2.632143352
*C(C*)c1ccc(cc1)C(=O)CCCC,2611655646,3.637911686,2.72809572
*C(C*)c1ccc(cc1)C(=O)CCCCC,2594603380,3.53552219,2.687331465
*C(C*)c1ccc(cc1)C(=O)CCCCCCC,2578552054,3.425952885,2.758666899
*C(C*)c1ccc(cc1)C(=O)Cc1ccccc1,3687811550,3.251372527,2.472442757
*C(C*)c1ccc(cc1)C(=O)c1ccccc1,3373237093,3.248916687,2.609731613
*C(C*)c1ccc(cc1)C(=O)c1ccc(cc1)C,2981004557,3.260501797,2.71766328
*C(C*)c1ccc(cc1)F,2068854998,4.121648023,2.230364835
*C(C*)c1ccc(cc1)I,2007753852,4.4800511,2.229144347
*C(C*)c1ccc(cc1)N(C)C,2736501356,4.033002601,2.485086921
*C(C*)c1ccc(cc1)OC,2607218330,3.863511765,2.347030747
*C(C*)c1ccc(cc1)OCC,2368205562,3.77177359,2.58838613
*C(C*)c1ccc(cc1)OCCC,2037805646,3.702410876,2.795840951
*C(C*)c1ccc(cc1)OCCCC,1928174529,3.583183442,2.875655505
*C(C*)c1ccc(cc1)OCCC(C)C,2521820952,3.640218329,2.832148912
*C(C*)c1ccc(cc1)Oc1ccccc1,2964814987,3.266120045,2.684559151
*C(C*)c1ccc(cc1)c1ccc(cc1)c1ccccc1,2658208965,2.988485322,2.764095896
*C(C*)c1ccc(cc1)S(=O)(=O)OCCC,2818794187,3.968868315,2.630317523
*C(C*)c1c(cccc1Cl)Cl,1940815944,4.261052805,2.375184427
*C(C*)c1c(cc(cc1)C)C,2261298512,4.129150882,2.405744469
*C(C*)c1c(cc(cc1)C(C)C)C(C)C,1890004465,3.986670228,2.947158
*C(C*)c1c(cc(cc1)F)C,2311722688,4.210951363,2.66678826
*C(C*)c1c(cc(cc1)Cl)C,2158707941,4.19318069,2.514462643
*C(C*)c1c(cc(cc1)Cl)Cl,1839064324,4.193777805,2.470472001
*C(C*)c1c(ccc(c1)C)C,1982918504,4.132651363,2.553840964
*C(C*)c1c(ccc(c1)C(C)(C)C)C,2087895041,4.007883527,2.783698565
*C(C*)c1c(ccc(c1)C(C)C)C(C)C,1960816350,3.992155942,2.673435535
*C(C*)c1c(ccc(c1)Cl)Cl,2017112472,4.209982132,2.561490435
*C(C*)c1c(ccc(c1)F)F,1763680554,4.249335498,2.12656584
*C(C*)c1c(ccc(c1)C)F,2341931163,4.19441819,2.363151301
*C(C*)c1c(ccc(c1)Br)OCCCC,1653225026,3.784432315,2.397075466
*C(C*)c1c(ccc(c1)Br)OCC,2020473434,3.974842361,2.183288741
*C(C*)c1c(ccc(c1)Br)OC,1907947001,4.061929195,2.096859826
*C(C*)c1c(ccc(c1)Br)OCCC,1639093894,3.908936002,2.473239692
*C(C*)c1c(ccc(c1)Br)OC(C)C,1816460004,4.030805036,2.279720238
*C(C*)c1c(ccc(c1)Br)OCCCCC,1413767707,3.692322517,2.45138414
