smiles,TC,SA,SC,atom_count
*C(C*)c1ccc(cc1)OC(=O)C,0.259585297,3.861347624,2.399095824,14
*C(C*)c1ccc(cc1)CCC,0.242985282,3.834319744,2.744205299,13
*C(C*)c1ccc(cc1)COCCCCCCOc1ccc(cc1)c1ccc(cc1)OC,0.265685462,3.136359982,3.247372029,33
*C(C*)c1ccc(cc1)COCC(CCCC)CC,0.26087891,3.90994495,2.946891387,20
*C(C*)c1ccc(cc1)COCCOCCCCCCCC,0.266343252,3.40654704,3.047789717,23
*C(C*)c1ccc(cc1)C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.115569094,4.209067978,3.385829128,28
*C(CC(C*)c1ccccc1)(C(=O)OC)C#N,0.199800698,4.380547524,2.419464185,18
*C(C*)c1cc(c(cc1)C(=O)O)C(=O)O,0.3080457,3.881495502,2.404252028,16
*C(C(*)(c1c(c(c(c(c1[2H])[2H])[2H])[2H])[2H])[2H])([2H])[2H],0.198937871,7.336055731,2.785828253,18
*C(C*)O,0.438737902,6.978688097,1.493341398,5
*C(C*)C=O,0.267165471,6.945298235,1.45264863,6
*C(C*)OC(=O)CCCCCCCCCCC,0.282501246,3.596417574,2.545197208,18
*C(C*)C(=O)C,0.26561373,6.098370096,1.597966639,7
*C(C*)C(=O)C(C)C,0.225007493,5.405763945,1.990156317,9
*C(C*)(C(=O)C)C,0.212146266,5.717939336,1.938267077,8
*C(C*)C#N,0.227307045,6.957049004,1.641652013,6
*C(C*)(C#N)C,0.201063991,6.378160142,1.759447849,7
*C(C*)c1ncccc1,0.184406433,4.54603013,2.239721153,10
*C(C*)n1c2ccccc2c2ccccc12,0.178401902,3.495918161,2.835422484,17
*C(C*)OC,0.262373678,6.710052081,1.576835999,6
*C(C*)OCC,0.24221035,6.003872811,1.682727578,7
*C(C*)OC(=O)C,0.258656205,5.586391401,1.877757533,8
*C(C*)OC(=O)CC,0.254353251,5.305917031,2.210544958,9
*C(C*)OC(=O)c1ccccc1,0.186373384,3.721692821,2.049346104,13
*C(C*)CCCCCCCCCO,0.330609059,3.994614426,2.591978351,14
*C(C*)CCN(C(C)C)C(C)C,0.274221978,4.671247716,3.128049967,13
*C(C*)CCCN(C(C)C)C(C)C,0.27772076,4.53656058,2.984180552,14
*C(C*)CCCN(CC(C)C)CC(C)C,0.258228983,4.255536162,3.539063754,16
*C(C*)O[N+](=O)[O-],0.243039162,6.172699863,1.738479144,8
*C=CC(C(*)C(=O)OC)C,0.242911397,5.524918227,2.242364907,11
*C#C/C(=C(*)\COS(=O)(=O)c1ccc(cc1)C)COS(=O)(=O)c1ccc(cc1)C,0.255175548,3.501503489,1.967030955,30
*C(C*)OC=O,0.235150652,6.579095888,1.664394062,7
*C(C*)OCc1ccccc1,0.205595119,3.861723365,2.021193735,12
*C(C*)OC(C)(C)C,0.226849329,5.485058351,1.921744176,9
*C(C(*)OCC(C)C)C,0.222144713,5.303431719,1.661767417,10
*C(C*)OC(C)C,0.241975026,5.797088324,1.431134197,8
*C(C*)(OC)C,0.207223659,6.194780051,1.838627922,7
*C(C*)OCC(C)(C)C,0.218243316,5.331501668,2.120872273,10
*C(C*)OC(CC)C,0.235279019,5.765753758,2.093383662,9
*C(C*)OC(=O)C(F)(F)F,0.160012719,5.072641869,2.11885576,11
*/C=C/C(C*)OC,0.250969245,6.28898283,2.06157118,8
*C=CCC(CC*)(C(=O)OC)C,0.249826128,5.28177721,2.371286488,13
*C(C*)CCc1c(cccc1)C,0.237337805,3.921254359,2.779502585,13
*C(C*)CCc1ccc(cc1)C,0.23781263,3.783712052,2.795368913,13
*C(C*)OCCCCCCCCCCCC,0.325984117,3.656808114,2.650368317,17
*C(C(*)OCCCC)C,0.2476222,5.037623057,1.858590733,10
*C(C(*)OC(C)(C)C)C,0.203928088,5.418314181,1.907809028,10
*C(C(*)OCC)C,0.227848602,5.812646221,1.515865383,8
*C(C(*)OC(C)C)C,0.223844824,5.668910584,1.736531255,9
*C(C(*)OC)C,0.217127213,6.351905505,1.641434332,7
*C(C(*)OCCC)C,0.232191511,5.463949745,1.977174733,9
*C(C*)Cc1c(ccc(c1)C)C,0.219339206,4.053787656,2.708661214,13
*C(C*)Cc1cc(c(cc1)C)C,0.220624848,3.973032931,2.932172107,13
*C(C*)Cc1cc(cc(c1)C)C,0.227538068,4.093371832,2.645625807,13
*C(C*)Cc1cc(ccc1)C,0.213029156,4.001113164,2.595391207,12
*C(C*)Cc1c(cccc1)C,0.211243073,4.00518729,2.450931713,12
*C(C*)Cc1ccc(cc1)C,0.20880675,3.880832045,2.622868022,12
*C(C(*)O)C,0.269690871,6.383767078,1.549197553,6
*C(C*)OC(=O)c1ccc(cc1)C(C)(C)C,0.245177434,3.63338196,2.440088343,17
*C(C*)C(=O)C(C)(C)C,0.222675631,5.164445515,2.326050448,10
*C(C*)C(=O)C1CCCCC1,0.219884069,4.311984492,2.437647472,12
*C(C*)C(=O)c1c(cccc1)O,0.225341707,4.07629359,2.102351593,13
*C=CC(C*)OC,0.240715701,6.28898283,1.961591924,8
*C(=CCC*)c1ccccc1,0.209330511,3.890217127,2.004806714,12
*C(O)C(*)O,0.503119958,6.524273587,1.42555481,6
*C(C*)OCC(CCCC)CC,0.250639578,4.772489839,2.832478469,13
*C(C*)SCCCC,0.231505378,5.279848386,1.963706094,9
*C(C*)OC1CCCCC1,0.209300741,4.537443854,2.351096697,11
*C(C*)SCC,0.212352519,6.32843435,1.957529269,7
*C(C(*)(F)F)(OC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F,0.09864473,4.412221094,2.037766671,21
*C(C(*)(F)F)(OC(C(F)(F)F)(F)F)F,0.104992442,4.867606739,2.525733067,15
*C(C(*)(F)F)(OC(F)(F)F)OC(F)(F)F,0.096025647,4.372628361,2.245803978,16
*C(C(*)(F)F)OC(F)(F)F,0.113432798,5.285000449,1.826825525,11
*C(C(*)F)(OC(F)(F)F)F,0.115882336,5.550520298,2.051355589,11
*C(C(*)(F)F)(OC(F)(F)F)F,0.11540703,5.082629797,1.768033137,12
*C(C*)OCC(CC)(C)C,0.235379261,5.330802308,2.551068225,11
*C(C*)SC,0.202535215,6.994858235,1.985185494,6
*C(C*)OCCC,0.240692237,5.553850962,2.419370757,8
*C(C*)(C(=O)C)F,0.210118729,5.776457555,2.21671308,8
*C(C*)C(=O)c1ccccc1,0.183250902,3.858325751,2.158174491,12
*C(C*)C(=O)c1cc(c(cc1)Br)OC,0.149327416,3.965416574,2.488393281,15
*C(C*)C(=O)c1ccc(cc1)C(C)(C)C,0.231159229,3.719805392,2.442354473,16
*C(C*)C(=O)c1ccc(cc1)Cl,0.143955688,3.843250953,2.178413807,13
*C(C*)C(=O)c1ccc(cc1)CC,0.231546443,3.737344385,2.663855884,14
*C(C*)C(=O)c1ccc(cc1)C(C)C,0.236631114,3.726148113,2.477756022,15
*C(C*)C(=O)c1ccc(cc1)OC,0.228482209,3.658596207,2.188614811,14
*C(C*)C(=O)c1cc(c(cc1)C)C,0.223876284,3.876612763,2.724992176,14
*C(C*)C(=O)c1ccc(cc1)CCC,0.233892305,3.655645946,2.799986795,15
*C(C*)C(=O)c1ccc(cc1)C,0.217537979,3.815341063,2.341465324,13
*C(C*)OC(=O)c1c(cccc1)OC(=O)C,0.217738726,3.699798415,2.384217484,17
*C(C*)OC(=O)c1ccc(cc1)OC(=O)C,0.24818347,3.611812128,2.508578189,17
*C(C*)OC(=O)CCCC(=O)c1ccccc1,0.238763693,3.525957266,2.252052702,18
*C(C*)OC(=O)c1cc(ccc1)Br,0.137957273,3.908435478,2.24753209,14
*C(C*)OC(=O)c1ccc(cc1)Br,0.139742427,3.816515236,2.069312277,14
*C(C*)OC(=O)c1ccc(cc1)OC(=O)CCC,0.25604142,3.552371837,2.838515425,19
*C(C*)OC(=O)c1c(cccc1)Cl,0.171958387,3.805143171,2.004424366,14
*C(C*)OC(=O)c1cc(ccc1)Cl,0.153320971,3.823256126,2.066267781,14
*C(C*)OC(=O)c1ccc(cc1)Cl,0.15531743,3.718779608,2.198984149,14
*C(C*)OC(=O)C1CCCCC1,0.215272882,4.135492821,2.028792513,13
*C(C*)OC(=O)CC1CCCCC1,0.222720187,4.122741053,2.527393281,14
*C(C*)OC(=O)CCCC1CCCCC1,0.244722191,3.889993085,2.616901214,16
*C(C*)OC(=O)c1ccc(cc1)OCC,0.229699129,3.517632665,2.547613731,16
*C(C*)OC(=O)c1ccc(cc1)CC,0.231673795,3.633914239,2.52969193,15
*C(C*)OC(=O)C(C(C(F)(F)F)(F)F)(F)F,0.124821014,4.617289353,2.188736479,17
*C(C*)OC(=O)C1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)F,0.099404761,5.184743567,2.382470668,24
*C(C*)NC(=O)OC(C)(C)C,0.240864603,4.469647709,1.756096196,12
