smiles,qm_homo_monomer,qm_lumo_monomer
*C(C*)c1ccc(cc1)C(=NO)C,-8.455493889,1.126857466
*C(C*)c1ccc(cc1)C(O)(C)C,-8.848755748,1.832263632
*C(C*)c1ccc(cc1)C(CC)(O)C,-8.846899807,1.810445396
*C(C*)c1ccc(cc1)C(CCC)(O)C,-8.81813086,1.842036104
*C(C*)c1ccc(cc1)C(CCCC)(O)C,-8.835391812,1.807864599
*C(C*)c1ccc(cc1)C(CCCCC)(O)C,-8.835790913,1.803039665
*C(C*)c1ccc(cc1)C(CCN(C)C)O,-8.555768721,1.905673497
*C(C*)c1ccc(cc1)C(CCN1CCCCC1)O,-8.608917093,1.928328672
*C(C*)c1ccc(cc1)C(CCN1CCOCC1)O,-8.623697227,2.031209027
*C(C*)c1ccc(cc1)COC,-8.880008462,1.842509727
*C(C*)c1ccc(cc1)COCCO,-9.034599971,1.670159308
*C(C*)c1ccc(cc1)COCCC,-8.919660271,1.767353454
*C(C*)c1ccc(cc1)COCCCC,-8.9222145,1.76741997
*C(C*)c1ccc(cc1)COCCCCO,-8.76606195,1.913965427
*C(C*)c1ccc(cc1)COC(CC)C,-8.901319465,1.770926229
*C(C*)c1ccc(cc1)COCCCCCC,-8.921912456,1.769541885
*C(C*)c1ccc(cc1)COCCOCCCC,-9.103643397,1.526286606
*C(C*)c1ccc(cc1)C(=O)N(C)C,-9.026317471,1.238017193
*C(C*)c1ccc(cc1)C(=O)N(CC)CC,-8.995363357,1.320031702
*C(C*)c1ccc(cc1)C(=O)N1CCCCC1,-8.989354058,1.219587781
*C(C*)c1ccc(cc1)C(=O)CCN1CCCCC1,-8.543681318,0.775042116
*C(C*)c1ccc(cc1)C(=O)N1CCOCC1,-8.913029368,1.08691462
*C(C*)c1ccc(cc1)C(=O)OC,-9.274398142,0.848579782
*C(C*)c1ccc(cc1)C(=O)OCC,-9.252379981,0.874445823
*C(C*)c1ccc(cc1)C(=O)OCCC,-9.267375338,0.843067988
*C(C*)c1ccc(cc1)C(=O)OC(C)C,-9.242328151,0.87603465
*C(C*)c1ccc(cc1)C(=O)OCCCC,-9.266738884,0.844291459
*C(C*)c1ccc(cc1)C(=O)OCC(C)C,-9.270193627,0.83877789
*C(C*)c1ccc(cc1)C(=O)OCCCCCC,-9.27085209,0.836126514
*C(C*)c1ccc(cc1)C(=O)CC,-9.261826109,0.613425156
*C(C*)c1ccc(cc1)C(=O)CCC,-9.255739401,0.614502981
*C(C*)c1ccc(cc1)C(=O)CCCC,-9.269513148,0.58343808
*C(C*)c1ccc(cc1)C(=O)CCCCC,-9.268414701,0.583628834
*C(C*)c1ccc(cc1)C(=O)CCCCCCC,-9.2506607,0.621276894
*C(C*)c1ccc(cc1)C(=O)Cc1ccccc1,-9.043064069,0.494246221
*C(C*)c1ccc(cc1)C(=O)c1ccccc1,-9.214052157,0.282505338
*C(C*)c1ccc(cc1)C(=O)c1ccc(cc1)C,-9.12856911,0.352246879
*C(C*)c1ccc(cc1)F,-8.968492873,1.631679035
*C(C*)c1ccc(cc1)I,-8.695871072,1.304860763
*C(C*)c1ccc(cc1)N(C)C,-7.458342441,2.106821887
*C(C*)c1ccc(cc1)OC,-8.234078418,1.93010561
*C(C*)c1ccc(cc1)OCC,-8.179435081,1.929792758
*C(C*)c1ccc(cc1)OCCC,-8.216370002,1.936924945
*C(C*)c1ccc(cc1)OCCCC,-8.214111831,1.938027604
*C(C*)c1ccc(cc1)OCCC(C)C,-8.229325155,1.924880127
*C(C*)c1ccc(cc1)Oc1ccccc1,-8.339648374,1.560611506
*C(C*)c1ccc(cc1)c1ccc(cc1)c1ccccc1,-8.135934135,0.813320985
*C(C*)c1ccc(cc1)S(=O)(=O)OCCC,-9.828745242,0.681812134
*C(C*)c1c(cccc1Cl)Cl,-9.363722503,1.271950236
*C(C*)c1c(cc(cc1)C)C,-8.552053123,2.151147298
*C(C*)c1c(cc(cc1)C(C)C)C(C)C,-8.624234621,1.987644507
*C(C*)c1c(cc(cc1)F)C,-8.79430105,1.807952379
