smiles,qm_homo_monomer,qm_lumo_monomer,atom_count
*C(C*)C(=O)c1ccc(cc1)CC,-9.261741484,0.613759766,14
*C(C*)C(=O)c1ccc(cc1)C(C)C,-9.259147982,0.623132128,15
*C(C*)C(=O)c1ccc(cc1)OC,-8.719810426,0.810874363,14
*C(C*)C(=O)c1cc(c(cc1)C)C,-9.065712734,0.680268189,14
*C(C*)C(=O)c1ccc(cc1)CCC,-9.253159308,0.602700922,15
*C(C*)C(=O)c1ccc(cc1)C,-9.261422308,0.623312837,13
*C(C*)OC(=O)c1c(cccc1)OC(=O)C,-9.460954948,0.68104662,17
*C(C*)OC(=O)c1ccc(cc1)OC(=O)C,-9.362013844,0.728731198,17
*C(C*)OC(=O)CCCC(=O)c1ccccc1,-9.653479167,0.374201454,18
*C(C*)OC(=O)c1cc(ccc1)Br,-9.329119852,0.460015333,14
*C(C*)OC(=O)c1ccc(cc1)Br,-9.35482041,0.459777846,14
*C(C*)OC(=O)c1ccc(cc1)OC(=O)CCC,-9.346645449,0.742825942,19
*C(C*)OC(=O)c1c(cccc1)Cl,-9.438704521,0.614361143,14
*C(C*)OC(=O)c1cc(ccc1)Cl,-9.46549935,0.452540038,14
*C(C*)OC(=O)c1ccc(cc1)Cl,-9.483673714,0.474878781,14
*C(C*)OC(=O)C1CCCCC1,-10.11034794,2.654987434,13
*C(C*)OC(=O)CC1CCCCC1,-10.2123479,2.617784723,14
*C(C*)OC(=O)CCCC1CCCCC1,-10.24292256,2.671709673,16
*C(C*)OC(=O)c1ccc(cc1)OCC,-8.68487557,1.098205495,16
*C(C*)OC(=O)c1ccc(cc1)CC,-9.259746307,0.853524731,15
*C(C*)OC(=O)C(C(C(F)(F)F)(F)F)(F)F,-11.3075146,1.304896882,17
*C(C*)OC(=O)C1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)F,-11.31555217,1.307460564,24
*C(C*)NC(=O)OC(C)(C)C,-9.568008551,2.728795668,12
*C(C*)OC(=O)C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-11.29524543,1.230691774,35
*C(C*)OC(=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,-11.29328885,1.232494064,23
*C(C*)OC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-11.29406178,1.230467831,29
*C(C*)OC(=O)C(C(F)(F)F)(F)F,-11.29152265,1.384509381,14
*C(C*)OC(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-11.3050892,1.26858799,20
*C(C*)OC(=O)c1ccncc1,-9.923410953,0.277226018,13
*C(C*)OC(=O)c1ccc(cc1)C(C)C,-9.255115899,0.867193831,16
*C(C*)OC(=O)C(C(C)C)(C(C)C)C,-10.01043105,2.649482096,15
*C(C*)OC(=O)c1c(cccc1)OC,-8.700548593,0.926180462,15
*C(C*)OC(=O)c1cc(ccc1)OC,-8.679388794,0.787497751,15
*C(C*)OC(=O)c1ccc(cc1)OC,-8.714188676,1.07616088,15
*C(C*)OC(=O)c1c(cccc1)C,-9.247688135,0.824857289,14
*C(C*)OC(=O)c1cc(ccc1)C,-9.257068278,0.852776787,14
*C(C*)OC(=O)c1ccc(cc1)C,-9.256040935,0.869754943,14
*C(C*)OC(=O)CC(c1ccccc1)(C)C,-9.170201497,1.801736407,17
*C(C*)OC(=O)C(CCC)(C)C,-10.08199431,2.641563964,13
*C(C*)OC(=O)C(C(CC)(C)C)(C)C,-10.01087013,2.441181995,15
*C(C*)OC(=O)C(C(C(C)C)C)(C)C,-10.06011469,2.444783675,15
*C(C*)OC(=O)C(CC(C)(C)C)(C)C,-10.09395183,2.56461804,15
*C(C*)OC(=O)c1cnccc1,-9.950661512,0.497290544,13
*C(C*)OC(=O)c1cc(ccc1)[N+](=O)[O-],-10.35780996,-0.471947429,16
*C(C*)OC(=O)CCCCCCC,-10.26941992,2.670610186,14
*C(C*)OC(C(F)(F)F)(C(F)(F)F)F,-11.61312068,2.898773751,15
*C(C*)OC(=O)CCl,-10.75973369,2.336678118,9
*C(C*)C1=CC=CS1,-8.697526412,1.79489424,9
*C(C*)OCCCl,-10.0746105,2.465178353,8
*C(C*)OCCOC,-9.461428312,2.909317453,9
*C(C*)OCC(F)(F)F,-10.42943459,2.714196665,10
*C(C*)(CC(=O)OCCCCCCC)C(=O)OCCCCCCC,-10.25426886,2.416135722,25
*C(C*)OC(=O)C1CCCC1,-10.14119086,2.48416355,12
