smiles,BM,SA,SC,atom_count
*C(C*)c1ccc(cc1)C(=O)CCC,2500976302.0,3.754210299,2.632143352,15
*C(C*)c1ccc(cc1)C(=O)CCCC,2611655646.0,3.637911686,2.72809572,16
*C(C*)c1ccc(cc1)C(=O)CCCCC,2594603380.0,3.53552219,2.687331465,17
*C(C*)c1ccc(cc1)C(=O)CCCCCCC,2578552054.0,3.425952885,2.758666899,19
*C(C*)c1ccc(cc1)C(=O)Cc1ccccc1,3687811550.0,3.251372527,2.472442757,19
*C(C*)c1ccc(cc1)C(=O)c1ccccc1,3373237093.0,3.248916687,2.609731613,18
*C(C*)c1ccc(cc1)C(=O)c1ccc(cc1)C,2981004557.0,3.260501797,2.71766328,19
*C(C*)c1ccc(cc1)F,2068854998.0,4.121648023,2.230364835,11
*C(C*)c1ccc(cc1)I,2007753852.0,4.4800511,2.229144347,11
*C(C*)c1ccc(cc1)N(C)C,2736501356.0,4.033002601,2.485086921,13
*C(C*)c1ccc(cc1)OC,2607218330.0,3.863511765,2.347030747,12
*C(C*)c1ccc(cc1)OCC,2368205562.0,3.77177359,2.58838613,13
*C(C*)c1ccc(cc1)OCCC,2037805646.0,3.702410876,2.795840951,14
*C(C*)c1ccc(cc1)OCCCC,1928174529.0,3.583183442,2.875655505,15
*C(C*)c1ccc(cc1)OCCC(C)C,2521820952.0,3.640218329,2.832148912,16
*C(C*)c1ccc(cc1)Oc1ccccc1,2964814987.0,3.266120045,2.684559151,17
*C(C*)c1ccc(cc1)c1ccc(cc1)c1ccccc1,2658208965.0,2.988485322,2.764095896,22
*C(C*)c1ccc(cc1)S(=O)(=O)OCCC,2818794187.0,3.968868315,2.630317523,17
*C(C*)c1c(cccc1Cl)Cl,1940815944.0,4.261052805,2.375184427,12
*C(C*)c1c(cc(cc1)C)C,2261298512.0,4.129150882,2.405744469,12
*C(C*)c1c(cc(cc1)C(C)C)C(C)C,1890004465.0,3.986670228,2.947158,16
*C(C*)c1c(cc(cc1)F)C,2311722688.0,4.210951363,2.66678826,12
*C(C*)c1c(cc(cc1)Cl)C,2158707941.0,4.19318069,2.514462643,12
*C(C*)c1c(cc(cc1)Cl)Cl,1839064324.0,4.193777805,2.470472001,12
*C(C*)c1c(ccc(c1)C)C,1982918504.0,4.132651363,2.553840964,12
*C(C*)c1c(ccc(c1)C(C)(C)C)C,2087895041.0,4.007883527,2.783698565,15
*C(C*)c1c(ccc(c1)C(C)C)C(C)C,1960816350.0,3.992155942,2.673435535,16
*C(C*)c1c(ccc(c1)Cl)Cl,2017112472.0,4.209982132,2.561490435,12
*C(C*)c1c(ccc(c1)F)F,1763680554.0,4.249335498,2.12656584,12
*C(C*)c1c(ccc(c1)C)F,2341931163.0,4.19441819,2.363151301,12
*C(C*)c1c(ccc(c1)Br)OCCCC,1653225026.0,3.784432315,2.397075466,16
*C(C*)c1c(ccc(c1)Br)OCC,2020473434.0,3.974842361,2.183288741,14
*C(C*)c1c(ccc(c1)Br)OC,1907947001.0,4.061929195,2.096859826,13
*C(C*)c1c(ccc(c1)Br)OCCC,1639093894.0,3.908936002,2.473239692,15
*C(C*)c1c(ccc(c1)Br)OC(C)C,1816460004.0,4.030805036,2.279720238,15
*C(C*)c1c(ccc(c1)Br)OCCCCC,1413767707.0,3.692322517,2.45138414,17
*C(C*)c1c(ccc(c1)Br)OCCC(C)C,2094204024.0,3.832950255,2.863136717,17
*C(C*)c1cc(cc(c1)C)C,2509661261.0,4.24813694,2.583428823,12
*C(C*)c1cc(c(cc1)C)C,2207074010.0,4.119692228,2.43987012,12
*C(C*)c1cc(c(cc1)Cl)C,1688734778.0,4.227432613,2.644022307,12
*C(C*)c1cc(c(cc1)Cl)Cl,1800372609.0,4.189658575,2.513574668,12
*C(C*)c1cc(c(cc1)Cl)F,1944664031.0,4.293457132,2.514140111,12
*C(C*)c1c(cc(cc1C)C)C,2347840192.0,4.203931509,2.406710412,13
*C(C*)c1c(cc(c(c1)C)C)C,2499239492.0,4.186416124,2.704355036,13
*C(C*)c1c(c(c(c(c1F)F)F)F)F,2301288934.0,4.552457242,2.763695551,15
*C(C*)(c1ccccc1)C,2490241595.0,4.039212638,2.314657348,11
*C(C*)(c1ccc(cc1)C(C)C)C,2068502851.0,3.86395663,2.736255714,14
*C(C(*)(F)F)(c1ccccc1)F,2018912018.0,3.925420196,1.809397732,13
*C(C(*)(F)F)(c1c(c(c(c(c1F)F)F)F)F)F,1635672814.0,4.260336535,2.129067633,18
*C(C*)c1c2c(ccc1)cccc2,2306736046.0,3.591751349,2.59103347,14
*C(C*)c1ccc(cc1)C(=O)C,2511918803.0,3.882471173,2.117206295,13
*C(C*)c1ccc(cc1)C(=O)CCN1CCOCC1,3752203662.0,3.52289498,2.914520786,20
*C(C*)(C(=O)OC)c1ccccc1,2290206484.0,3.923433049,2.175878352,14
*C(C*)(c1ccc(cc1)C)C,2170174729.0,3.992861459,2.426621645,12
*C(C(*)c1ccccc1)[N+](=O)[O-],1503036154.0,4.396950498,1.736667897,13
*C(C*)c1ccc(cc1)C(=O)C(F)(F)F,2256359674.0,3.995251546,2.605984507,16
*C(C*)c1ccc(cc1)C(=O)c1ccc(cc1)OC,3184711112.0,3.202997163,2.554756287,20
*C(C*)c1cc2c(cc1)cccc2,2338400628.0,3.637128657,2.593717072,14
*C(C*)c1ccncc1,3191263594.0,4.649238372,2.418390721,10
*C(C*)c1nc(ccc1)C,2580374055.0,4.5346511,2.124443631,11
*C(C*)c1ccc(nc1)C,2233380331.0,4.523463407,2.636301544,11
*C(C*)N1Nc2c(C1)cccc2,3081853228.0,4.620823902,2.867826529,13
*C(C(C(C*)c1ncccc1)c1ccccc1)c1ncccc1,2272399729.0,4.089378286,2.901175078,24
*C(C*)c1ccc(cc1)O,3895793571.0,4.274232638,2.406268443,11
*C(C*)c1ccc(cc1)OC(=O)C,2672856492.0,3.861347624,2.399095824,14
*C(C*)c1ccc(cc1)CCC,2075412112.0,3.834319744,2.744205299,13
*C(C*)c1ccc(cc1)COCCCCCCOc1ccc(cc1)c1ccc(cc1)OC,3529662211.0,3.136359982,3.247372029,33
*C(C*)c1ccc(cc1)COCC(CCCC)CC,2505009922.0,3.90994495,2.946891387,20
*C(C*)c1ccc(cc1)COCCOCCCCCCCC,2066533608.0,3.40654704,3.047789717,23
*C(C*)c1ccc(cc1)C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1927784948.0,4.209067978,3.385829128,28
*C(CC(C*)c1ccccc1)(C(=O)OC)C#N,2870086836.0,4.380547524,2.419464185,18
*C(C*)c1cc(c(cc1)C(=O)O)C(=O)O,6533348457.0,3.881495502,2.404252028,16
*C(C(*)(c1c(c(c(c(c1[2H])[2H])[2H])[2H])[2H])[2H])([2H])[2H],2067982470.0,7.336055731,2.785828253,18
